"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
North Macedonia,259,+18,6,+2,3,250,1,124,3,Feb 25
Jordan,259,+13,2,+1,18,239,3,25,0.2,Mar 01
Kuwait,255,+20,,,67,188,12,60,,Feb 23
Kazakhstan,251,+23,1,,18,232,,13,0.05,Mar 12
San Marino,224,,22,,6,196,16,"6,602",648,Feb 26
Burkina Faso,222,+15,12,+1,23,187,,11,0.6,Mar 08
Cyprus,214,+35,5,,15,194,3,177,4,Mar 08
Albania,212,+15,10,,33,169,3,74,3,Mar 07
Azerbaijan,209,+27,4,,15,190,23,21,0.4,Feb 27
Vietnam,188,+14,,,25,163,3,2,,Jan 22
Réunion,183,,,,1,182,,204,,Mar 10
Oman,167,+15,,,23,144,,33,,Feb 23
Faeroe Islands,159,+4,,,70,89,1,"3,254",,Mar 03
Ghana,152,+11,5,,2,145,1,5,0.2,Mar 11
Malta,151,+2,,,2,149,4,342,,Mar 06
Uzbekistan,144,+40,2,,7,135,8,4,0.06,Mar 14
Senegal,142,+12,,,27,115,,8,,Mar 01
Ivory Coast,140,+39,,,3,137,,5,,Mar 10
Cuba,139,+20,3,,4,132,2,12,0.3,Mar 10
Brunei,126,+6,1,,34,91,1,288,2,Mar 08
Afghanistan,120,+10,4,,2,114,,3,0.1,Feb 23
Venezuela,119,,2,,39,78,2,4,0.07,Mar 12
Sri Lanka,117,+4,1,,11,105,5,5,0.05,Jan 26
Honduras,110,+15,2,+1,3,105,4,11,0.2,Mar 10
Palestine,108,+4,1,,18,89,,21,0.2,Mar 04
Mauritius,107,+5,2,,,105,1,84,2,Mar 17
Cambodia,103,+4,,,21,82,1,6,,Jan 26
Guadeloupe,102,,2,,17,83,4,255,5,Mar 12
Channel Islands,100,+3,2,+1,,98,,575,12,Mar 08
Nigeria,97,,1,,3,93,,0.5,0,Feb 27
Belarus,94,,,,32,62,2,10,,Feb 27
Martinique,93,,1,,,92,12,248,3,Mar 04
Cameroon,91,,2,,2,87,,3,0.08,Mar 05
Georgia,91,+1,,,18,73,1,23,,Feb 25
Montenegro,85,+1,1,,,84,1,135,2,Mar 16
Kyrgyzstan,84,+26,,,,84,,13,,Mar 17
Bolivia,81,+7,1,+1,,80,3,7,0.09,Mar 09
Trinidad and Tobago,76,,3,,1,72,,54,2,Mar 11
DRC,65,,6,,2,57,,0.7,0.07,Mar 09
Gibraltar,65,+9,,,14,51,,"1,929",,Mar 02
Mayotte,63,,,,,63,,231,,Mar 13
Rwanda,60,,,,,60,,5,,Mar 13
Paraguay,56,,3,,1,52,1,8,0.4,Mar 06
Liechtenstein,56,,,,,56,,"1,469",,Mar 02
Bangladesh,48,,5,,15,28,1,0.3,0.03,Mar 07
Aruba,46,,,,1,45,,431,,Mar 12
Monaco,43,,1,,1,41,,"1,096",25,Feb 27
Kenya,42,+4,1,,1,40,2,0.8,0.02,Mar 12
Isle of Man,42,+10,,,,42,,494,,Mar 18
Madagascar,39,+13,,,,39,,1,,Mar 19
Macao,37,+3,,,10,27,,57,,Jan 21
Guatemala,34,,1,,10,23,1,2,0.06,Mar 12
Jamaica,32,+2,1,,2,29,,11,0.3,Mar 09
French Polynesia,30,,,,,30,,107,,Mar 10
Uganda,30,,,,,30,,0.7,,Mar 20
Zambia,29,+1,,,,29,,2,,Mar 17
French Guiana,28,,,,6,22,,94,,Mar 06
Barbados,26,,,,,26,,90,,Mar 16
Togo,25,,1,,1,23,,3,0.1,Mar 05
El Salvador,24,+5,,,,24,,4,,Mar 18
Bermuda,22,+5,,,2,20,,353,,Mar 17
Ethiopia,21,+5,,,1,20,,0.2,,Mar 12
Congo,19,+15,,,,19,,3,,Mar 14
Mali,18,,1,,,17,,0.9,0.05,Mar 24
Niger,18,+8,1,,,17,,0.7,0.04,Mar 18
Maldives,17,+1,,,11,6,,31,,Mar 06
Guinea,16,+8,,,,16,,1,,Mar 12
Haiti,15,+7,,,1,14,,1,,Mar 19
New Caledonia,15,,,,,15,,53,,Mar 17
Djibouti,14,,,,,14,,14,,Mar 17
Tanzania,14,,,,1,13,,0.2,,Mar 15
Equatorial Guinea,12,,,,,12,,9,,Mar 13
Mongolia,12,,,,,12,,4,,Mar 09
Bahamas,11,+1,,,1,10,,28,,Mar 14
Dominica,11,,,,,11,,153,,Mar 21
Namibia,11,+3,,,2,9,,4,,Mar 13
Saint Martin,11,,,,,11,,284,,Feb 29
Greenland,10,,,,2,8,,176,,Mar 15
Myanmar,10,+2,,,,10,,0.2,,Mar 22
Syria,9,+4,1,+1,,8,,0.5,0.06,Mar 21
Grenada,9,+2,,,,9,,80,,Mar 21
Eswatini,9,,,,,9,,8,,Mar 13
Cayman Islands,8,,1,,,7,,122,15,Mar 12
Curaçao,8,,1,,2,5,,49,6,Mar 12
Guyana,8,,1,,,7,,10,1,Mar 11
Laos,8,,,,,8,,1,,Mar 23
Libya,8,+5,,,,8,,1,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81,,Mar 13
Suriname,8,,,,,8,,14,,Mar 12
Angola,7,+2,2,+2,,5,,0.2,0.06,Mar 19
Gabon,7,,1,,,6,,3,0.4,Mar 12
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Sudan,6,+1,1,,,5,,0.1,0.02,Mar 12
Benin,6,,,,,6,,0.5,,Mar 15
Eritrea,6,,,,,6,,2,,Mar 20
Vatican City,6,,,,,6,,"7,491",,Mar 05
Sint Maarten,6,,,,,6,,140,,Mar 17
Nepal,5,,,,1,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6,,Mar 18
Mauritania,5,,,,,5,,1,,Mar 12
Montserrat,5,,,,,5,,"1,002",,Mar 17
St. Barth,5,,,,,5,,506,,Feb 29
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
Bhutan,4,+1,,,,4,,5,,Mar 05
Saint Lucia,4,+1,,,1,3,,22,,Mar 12
Turks and Caicos,4,,,,,4,,103,,Mar 22
Gambia,3,,1,,,2,,1,0.4,Mar 16
CAR,3,,,,,3,,0.6,,Mar 14
Chad,3,,,,,3,,0.2,,Mar 18
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
Belize,2,,,,,2,,5,,Mar 22
British Virgin Islands,2,,,,,2,,66,,Mar 24
Guinea-Bissau,2,,,,,2,,1,,Mar 24
Saint Kitts and Nevis,2,,,,,2,,38,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,"81,439",+45,"3,300",+5,"75,448","2,691",742,57,2,Jan 10
Total:,"710,950","+47,868","33,553","+2,697","150,734","526,663","26,726",91.2,4.3,
