"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
Pakistan,"1,331",+130,9,,23,"1,299",7,6,0.04
Romania,"1,292",+263,25,+2,115,"1,152",32,67,1
South Africa,"1,170",+243,2,+2,12,"1,156",7,20,0.03
Thailand,"1,136",+91,5,+1,97,"1,034",11,16,0.07
Saudi Arabia,"1,104",+92,3,,35,"1,066",6,32,0.09
Indonesia,"1,046",+153,87,+9,46,913,,4,0.3
Finland,"1,041",+83,7,+2,10,"1,024",32,188,1
Russia,"1,036",+196,3,,45,988,8,7,0.02
Greece,966,+74,28,+1,52,886,66,93,3
Iceland,890,+88,2,,97,791,18,"2,608",6
India,887,+160,20,,73,794,,0.6,0.01
Philippines,803,+96,54,+9,31,718,1,7,0.5
Singapore,732,+49,2,,183,547,17,125,0.3
Diamond Princess,712,,10,,597,105,15,,
Panama,674,,9,,2,663,20,156,2
Slovenia,632,+70,9,+3,10,613,14,304,4
Argentina,589,,13,+1,72,504,,13,0.3
Croatia,586,+91,3,,37,546,14,143,0.7
Mexico,585,+110,8,+2,4,573,1,5,0.06
Dominican Republic,581,+93,20,+10,3,558,,54,2
Peru,580,,9,,14,557,14,18,0.3
Estonia,575,+37,1,,11,563,7,433,0.8
Qatar,562,+13,,,43,519,6,195,
Serbia,528,+71,8,+1,15,505,25,60,0.9
Hong Kong,518,+64,4,,111,403,5,69,0.5
Egypt,495,,24,,102,369,,5,0.2
Colombia,491,,6,,8,477,,10,0.1
Bahrain,466,+8,4,,227,235,1,274,2
Iraq,458,+76,40,+4,122,296,,11,1
Algeria,409,+42,26,+1,29,354,,9,0.6
Lebanon,391,+23,7,+1,23,361,3,57,1
New Zealand,368,,,,37,331,1,76,
Lithuania,345,+46,5,+1,1,339,2,127,2
Morocco,333,+58,11,,8,314,1,9,0.3
UAE,333,,2,,52,279,2,34,0.2
Armenia,329,+39,1,,28,300,6,111,0.3
Hungary,300,+39,10,,34,256,6,31,1
Bulgaria,293,+29,3,,9,281,8,42,0.4
Latvia,280,+36,,,1,279,,148,
Slovakia,269,+43,,,2,267,1,49,
Andorra,267,+43,3,,1,263,11,"3,456",39
Taiwan,267,+15,2,,30,235,,11,0.08
Uruguay,238,,,,,238,3,69,
Bosnia and Herzegovina,231,+40,4,+1,5,222,1,70,1
Costa Rica,231,,2,,2,227,5,45,0.4
Tunisia,227,+30,6,+1,2,219,10,19,0.5
Ukraine,226,+30,5,,5,216,,5,0.1
Kuwait,225,+17,,,57,168,11,53,
San Marino,223,+15,21,,4,198,12,"6,572",619
North Macedonia,219,+18,3,,3,213,1,105,1
Jordan,212,,,,2,210,,21,
Moldova,199,+22,2,+1,2,195,33,49,0.5
Albania,186,+12,8,+2,31,147,3,65,3
Burkina Faso,180,+28,9,+2,12,159,,9,0.4
Azerbaijan,165,+43,3,,15,147,6,16,0.3
Vietnam,163,+10,,,20,143,3,2,
Cyprus,146,,5,+2,4,137,3,121,4
Réunion,145,+10,,,1,144,,162,
Faeroe Islands,144,+4,,,54,90,2,"2,947",
Malta,139,+5,,,2,137,1,315,
Kazakhstan,137,+24,1,,3,133,,7,0.05
Ghana,136,+4,4,,1,131,1,4,0.1
Oman,131,+22,,,23,108,,26,
Senegal,119,+14,,,11,108,,7,
Brunei,115,+1,,,11,104,1,263,
Venezuela,107,,1,,31,75,2,4,0.04
Sri Lanka,106,,,,7,99,5,5,
Cambodia,99,+1,,,11,88,1,6,
Ivory Coast,96,,,,3,93,,4,
Afghanistan,94,,4,,2,88,,2,0.1
Mauritius,94,+13,2,,,92,1,74,2
Belarus,94,+8,,,32,62,2,10,
Palestine,91,+5,1,,17,73,,18,0.2
Cameroon,88,+13,2,+1,2,84,,3,0.08
Uzbekistan,88,+13,1,+1,5,82,8,3,0.03
Martinique,81,,1,,,80,12,216,3
Georgia,81,+2,,,13,68,1,20,
Cuba,80,+13,2,,4,74,2,7,0.2
Channel Islands,80,+14,1,,,79,,460,6
Montenegro,75,+6,1,,,74,1,119,2
Guadeloupe,73,,1,,,72,4,182,2
Honduras,68,+1,1,,,67,,7,0.1
Trinidad and Tobago,66,+1,2,+1,1,63,,47,1
Nigeria,65,,1,,3,61,,0.3,0
Bolivia,61,,,,,61,,5,
Kyrgyzstan,58,+14,,,,58,,9,
Liechtenstein,56,,,,,56,,"1,469",
Gibraltar,55,+20,,,14,41,,"1,632",
Paraguay,52,+11,3,,1,48,1,7,0.4
DRC,51,,3,,2,46,,0.6,0.03
Mayotte,50,+14,,,,50,,183,
Rwanda,50,,,,,50,,4,
Bangladesh,48,+4,5,,11,32,1,0.3,0.03
Macao,34,+1,,,10,24,,52,
Monaco,33,,,,1,32,,841,
Kenya,31,,1,,1,29,2,0.6,0.02
French Polynesia,30,,,,,30,,107,
Isle of Man,29,+3,,,,29,,341,
Aruba,28,,,,1,27,,262,
French Guiana,28,,,,6,22,,94,
Jamaica,26,,1,,2,23,,9,0.3
Guatemala,25,,1,,4,20,,1,0.06
Togo,25,+1,,,1,24,,3,
Barbados,24,,,,,24,,84,
Madagascar,24,+1,,,,24,,0.9,
Zambia,22,+6,,,,22,,1,
Uganda,18,+4,,,,18,,0.4,
Ethiopia,16,+4,,,,16,,0.1,
Bermuda,15,,,,2,13,,241,
New Caledonia,15,+1,,,,15,,53,
Maldives,14,+1,,,9,5,,26,
El Salvador,13,,,,,13,,2,
Tanzania,13,,,,1,12,,0.2,
Djibouti,12,+1,,,,12,,12,
Equatorial Guinea,12,,,,,12,,9,
Dominica,11,,,,,11,,153,
Mali,11,+7,,,,11,,0.5,
Mongolia,11,,,,,11,,3,
Saint Martin,11,,,,,11,,284,
Niger,10,,1,,,9,,0.4,0.04
Greenland,10,+4,,,2,8,,176,
Bahamas,9,,,,1,8,,23,
Eswatini,9,+3,,,,9,,8,
Cayman Islands,8,,1,,,7,,122,15
Guinea,8,+4,,,,8,,0.6,
Haiti,8,,,,,8,,0.7,
Namibia,8,,,,2,6,,3,
Suriname,8,,,,,8,,14,
Curaçao,7,,1,,2,4,,43,6
Gabon,7,,1,,,6,,3,0.4
Antigua and Barbuda,7,,,,,7,,71,
Grenada,7,,,,,7,,62,
Mozambique,7,,,,,7,,0.2,
Seychelles,7,,,,,7,,71,
Benin,6,,,,,6,,0.5,
Eritrea,6,,,,,6,,2,
Laos,6,,,,,6,,0.8,
Cabo Verde,5,,1,,,4,,9,2
Guyana,5,,1,,,4,,6,1
Zimbabwe,5,+2,1,,,4,,0.3,0.07
Fiji,5,,,,,5,,6,
Montserrat,5,,,,,5,,"1,002",
Myanmar,5,,,,,5,,0.09,
St. Barth,5,+2,,,,5,,506,
Syria,5,,,,,5,,0.3,
Nepal,4,+1,,,1,3,,0.1,
Angola,4,,,,,4,,0.1,
Congo,4,,,,,4,,0.7,
Vatican City,4,,,,,4,,"4,994",
Gambia,3,,1,,,2,,1,0.4
Sudan,3,,1,,,2,,0.07,0.02
Bhutan,3,+1,,,,3,,4,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Mauritania,3,,,,,3,,0.6,
Saint Lucia,3,,,,1,2,,16,
Sint Maarten,3,,,,,3,,70,
Somalia,3,+1,,,,3,,0.2,
Nicaragua,2,,1,+1,,1,,0.3,0.2
Anguilla,2,,,,,2,,133,
Belize,2,,,,,2,,5,
British Virgin Islands,2,,,,,2,,66,
Guinea-Bissau,2,,,,,2,,1,
Saint Kitts and Nevis,2,,,,,2,,38,
Turks and Caicos,2,,,,,2,,52,
Libya,1,,,,,1,,0.1,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9,
Timor-Leste,1,,,,,1,,0.8,
Total:,"575,758","43,948","26,407","2,339","129,988","419,363","21,674",73.9,3.4
