,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
25,Singapore,35292,,24,,"22,466","12,802",7,"6,036",4,"334,691","57,245","5,846,646",Asia
26,UAE,35192,,266,,"18,338","16,588",1,"3,562",27,"2,110,493","213,601","9,880,535",Asia
27,South Africa,34357,,705,,"17,291","16,361",128,580,12,"742,742","12,536","59,246,734",Africa
28,Portugal,32700,,1424,,"19,552","11,724",64,"3,206",140,"812,415","79,657","10,198,931",Europe
29,Switzerland,30871,,1920,,"28,500",451,28,"3,569",222,"399,215","46,154","8,649,556",Europe
30,Colombia,30493,,969,,"9,661","19,863",136,600,19,"319,779","6,290","50,838,520",South America
31,Kuwait,27762,,220,,"12,899","14,643",204,"6,509",52,"290,013","67,994","4,265,264",Asia
32,Indonesia,26940,,1641,,"7,637","17,662",,99,6,"333,415","1,220","273,287,113",Asia
33,Egypt,26384,,1005,,"6,447","18,932",41,258,10,"135,000","1,321","102,167,945",Africa
34,Ireland,25062,,1650,,"22,089","1,323",36,"5,080",334,"325,795","66,041","4,933,258",Europe
35,Poland,24165,,1074,,"11,449","11,642",160,638,28,"931,520","24,611","37,849,748",Europe
36,Ukraine,24012,,718,,"9,690","13,604",283,549,16,"363,187","8,301","43,752,988",Europe
37,Romania,19398,,1276,,"13,426","4,696",159,"1,008",66,"443,252","23,030","19,247,039",Europe
38,Philippines,18638,,960,,"3,979","13,699",73,170,9,"358,676","3,277","109,459,685",Asia
39,Dominican Republic,17572,,502,,"10,893","6,177",110,"1,621",46,"81,647","7,533","10,839,047",North America
40,Argentina,17415,,556,,"5,521","11,338",274,386,12,"164,084","3,633","45,162,170",South America
41,Israel,17169,,285,,"14,878","2,006",33,"1,867",31,"568,452","61,804","9,197,590",Asia
42,Japan,16884,,892,,"14,502","1,490",115,133,7,"292,569","2,313","126,505,371",Asia
43,Austria,16733,,668,,"15,596",469,29,"1,859",74,"451,820","50,189","9,002,328",Europe
44,Afghanistan,15750,,265,,"1,428","14,057",19,405,7,"39,628","1,020","38,850,966",Asia
45,Panama,13837,,344,,"9,514","3,979",78,"3,211",80,"67,730","15,718","4,309,025",North America
46,Oman,12223,,50,,"2,682","9,491",31,"2,399",10,"100,181","19,663","5,094,952",Asia
47,Bahrain,11871,,19,,"7,070","4,782",11,"7,000",11,"322,054","189,897","1,695,942",Asia
48,Denmark,11699,,576,,"10,412",711,20,"2,020",99,"637,738","110,133","5,790,610",Europe
49,S. Korea,11503,,271,,"10,422",810,15,224,5,"921,391","17,973","51,265,802",Asia
50,Serbia,11430,,244,,"6,726","4,460",9,"1,308",28,"247,760","28,348","8,739,982",Europe
51,Kazakhstan,11308,,41,,"5,587","5,680",62,603,2,"828,377","44,161","18,758,176",Asia
52,Nigeria,10578,,299,,"3,122","7,157",7,51,1,"63,882",311,"205,682,185",Africa
53,Bolivia,9982,,313,,968,"8,701",3,856,27,"28,239","2,422","11,659,740",South America
54,Algeria,9513,,661,,"5,894","2,958",25,217,15,,,"43,783,102",Africa
55,Armenia,9492,,139,,"3,402","5,951",10,"3,204",47,"58,668","19,801","2,962,815",Asia
56,Czechia,9302,,321,,"6,642","2,339",15,869,30,"442,866","41,361","10,707,447",Europe
57,Norway,8446,,236,,"7,727",483,8,"1,559",44,"245,352","45,286","5,417,837",Europe
58,Moldova,8360,,305,,"4,622","3,433",251,"2,072",76,"55,582","13,776","4,034,667",Europe
59,Ghana,8070,,36,,"2,947","5,087",3,260,1,"218,425","7,042","31,016,284",Africa
60,Malaysia,7857,,115,,"6,404","1,338",8,243,4,"560,738","17,343","32,331,595",Asia
61,Morocco,7833,,205,,"5,893","1,735",18,212,6,"221,554","6,008","36,874,488",Africa
62,Australia,7204,,103,,"6,619",482,3,283,4,"1,472,220","57,790","25,475,529",Australia/Oceania
63,Finland,6885,,318,,"5,500","1,067",9,"1,243",57,"185,484","33,481","5,540,057",Europe
64,Iraq,6868,,215,,"3,275","3,378",43,171,5,"238,251","5,935","40,142,869",Asia
65,Cameroon,6397,,199,,"3,629","2,569",28,242,8,,,"26,486,666",Africa
66,Azerbaijan,5662,,68,,"3,508","2,086",42,559,7,"302,933","29,899","10,131,780",Asia
67,Guatemala,5336,249,116,8,795,"4,425",5,298,6,"31,427","1,757","17,887,052",North America
68,Honduras,5202,,212,,537,"4,453",13,526,21,"14,790","1,495","9,891,275",North America
69,Sudan,5173,,298,,"1,522","3,353",,118,7,401,9,"43,758,425",Africa
70,Luxembourg,4019,,110,,"3,845",64,4,"6,429",176,"75,594","120,928","625,114",Europe
71,Tajikistan,4013,,47,,"2,089","1,877",,422,5,,,"9,518,744",Asia
72,Hungary,3892,,527,,"2,156","1,209",25,403,55,"187,965","19,454","9,662,189",Europe
73,Guinea,3844,,23,,"2,135","1,686",24,293,2,"14,407","1,100","13,100,435",Africa
74,Senegal,3739,,42,,"1,858","1,839",14,224,3,"43,129","2,582","16,704,036",Africa
75,Uzbekistan,3702,,15,,"2,859",828,9,111,0.4,"460,000","13,761","33,428,522",Asia
76,Djibouti,3569,,24,,"1,521","2,024",,"3,617",24,"28,260","28,638","986,795",Africa
77,DRC,3195,,72,,454,"2,669",,36,0.8,,,"89,308,966",Africa
78,Thailand,3082,,57,,"2,965",60,1,44,0.8,"420,529","6,026","69,786,399",Asia
79,Ivory Coast,2951,,33,,"1,467","1,451",,112,1,"27,650","1,051","26,319,804",Africa
80,Greece,2918,,179,,"1,374","1,365",12,280,17,"182,423","17,496","10,426,808",Europe
81,Gabon,2655,,17,,722,"1,916",15,"1,195",8,"14,122","6,358","2,221,067",Africa
82,El Salvador,2582,,46,,"1,063","1,473",53,398,7,"91,837","14,164","6,483,624",North America
83,Bosnia and Herzegovina,2524,,154,,"1,888",482,4,769,47,"65,900","20,077","3,282,310",Europe
84,Bulgaria,2519,,140,,"1,090","1,289",17,362,20,"81,694","11,751","6,952,233",Europe
85,North Macedonia,2315,,140,,"1,569",606,21,"1,111",67,"30,302","14,545","2,083,381",Europe
86,Croatia,2246,,103,,"2,077",66,4,547,25,"66,695","16,239","4,107,117",Europe
87,Haiti,2124,,44,,24,"2,056",,186,4,"5,244",460,"11,391,042",North America
88,Cuba,2083,,83,,"1,826",174,3,184,7,"107,037","9,450","11,327,141",North America
89,Somalia,2023,,79,,361,"1,583",2,128,5,,,"15,852,747",Africa
90,Kenya,2021,,69,,482,"1,470",7,38,1,"80,054","1,492","53,667,080",Africa
91,Mayotte,1934,,24,,"1,473",437,10,"7,104",88,"5,200","19,102","272,228",Africa
92,Estonia,1870,,68,,"1,625",177,,"1,410",51,"84,156","63,444","1,326,467",Europe
93,Maldives,1829,,6,,488,"1,335",9,"3,389",11,"11,775","21,817","539,729",Asia
94,Kyrgyzstan,1817,,16,,"1,181",620,4,279,2,"111,859","17,169","6,515,051",Asia
95,Nepal,1811,,8,,221,"1,582",,62,0.3,"185,660","6,382","29,091,863",Asia
96,Iceland,1806,,10,,"1,794",2,,"5,295",29,"61,138","179,255","341,067",Europe
97,Lithuania,1678,,70,,"1,236",372,17,616,26,"304,854","111,876","2,724,919",Europe
98,Sri Lanka,1643,,11,,811,821,1,77,0.5,"65,355","3,053","21,406,209",Asia
99,Slovakia,1522,,28,,"1,368",126,,279,5,"172,875","31,665","5,459,440",Europe
100,Venezuela,1510,,14,,302,"1,194",3,53,0.5,"975,825","34,309","28,441,965",South America
101,New Zealand,1504,,22,,"1,481",1,,301,4,"281,609","56,298","5,002,100",Australia/Oceania
102,Slovenia,1473,,109,,"1,358",6,1,709,52,"80,407","38,677","2,078,916",Europe
103,Guinea-Bissau,1339,,8,,53,"1,278",,682,4,"1,500",764,"1,963,867",Africa
104,Mali,1315,,78,,744,493,,65,4,"3,483",172,"20,197,289",Africa
105,Equatorial Guinea,1306,,12,,200,"1,094",,934,9,"8,268","5,911","1,398,647",Africa
106,Ethiopia,1257,,12,,217,"1,028",4,11,0.1,"112,377",980,"114,708,673",Africa
107,Lebanon,1233,,27,,715,491,4,181,4,"84,176","12,329","6,827,705",Asia
108,Albania,1143,,33,,877,233,3,397,11,"14,825","5,151","2,878,035",Europe
109,Zambia,1089,,7,,912,170,1,59,0.4,"28,236","1,540","18,336,926",Africa
110,Hong Kong,1088,,4,,"1,037",47,2,145,0.5,"202,930","27,086","7,492,087",Asia
111,Tunisia,1084,,48,,964,72,2,92,4,"52,503","4,446","11,808,514",Africa
112,Costa Rica,1084,,10,,676,398,5,213,2,"26,622","5,230","5,090,350",North America
113,CAR,1069,,4,,23,"1,042",,222,0.8,"15,021","3,115","4,822,593",Africa
114,Latvia,1066,,24,,745,297,3,565,13,"109,723","58,126","1,887,671",Europe
115,Paraguay,995,,11,,488,496,2,140,2,"30,004","4,211","7,125,294",South America
116,South Sudan,994,,10,,6,978,,89,0.9,"3,356",300,"11,182,914",Africa
117,Niger,958,,65,,844,49,,40,3,"6,058",251,"24,122,457",Africa
118,Cyprus,949,,17,,790,142,4,786,14,"117,411","97,303","1,206,656",Asia
119,Sierra Leone,865,,46,,475,344,,109,6,,,"7,962,861",Africa
120,Burkina Faso,847,,53,,720,74,,41,3,,,"20,851,107",Africa
121,Madagascar,826,,6,,174,646,8,30,0.2,"10,249",371,"27,626,918",Africa
122,Uruguay,825,,23,,689,113,4,238,7,"44,551","12,829","3,472,791",South America
123,Georgia,794,,12,,624,158,6,199,3,"56,987","14,283","3,989,743",Asia
124,Chad,790,,66,,539,185,,48,4,,,"16,382,626",Africa
125,Andorra,765,,51,,698,16,4,"9,902",660,"3,750","48,541","77,255",Europe
126,Nicaragua,759,,35,,370,354,,115,5,,,"6,618,054",North America
127,Jordan,746,,9,,535,202,5,73,0.9,"193,060","18,937","10,194,886",Asia
128,Diamond Princess,712,,13,,651,48,4,,,,,0,
129,San Marino,671,,42,,359,270,1,"19,779","1,238","4,485","132,203","33,925",Europe
130,Malta,619,,9,,537,73,1,"1,402",20,"69,622","157,711","441,452",Europe
131,Congo,611,,20,,179,412,,111,4,,,"5,505,940",Africa
132,Mauritania,588,,23,,27,538,,127,5,"7,654","1,650","4,638,613",Africa
133,Jamaica,586,,9,,311,266,2,198,3,"12,702","4,291","2,960,152",North America
134,Channel Islands,560,,45,,528,-13,,"3,223",259,"10,255","59,027","173,733",Europe
135,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,578,342",Africa
136,French Guiana,499,,1,,200,298,2,"1,675",3,,,"297,984",South America
137,Sao Tome and Principe,484,,12,,68,404,,"2,212",55,175,800,"218,809",Africa
138,Réunion,473,,1,,411,61,1,529,1,"17,200","19,222","894,801",Africa
139,Cabo Verde,458,,4,,193,261,,824,7,"1,307","2,353","555,492",Africa
140,Uganda,457,,,,72,385,,10,,"96,825","2,123","45,606,102",Africa
141,Palestine,449,,3,,372,74,,88,0.6,"44,876","8,815","5,090,899",Asia
142,Togo,443,,13,,215,215,,54,2,"20,500","2,481","8,261,500",Africa
143,Taiwan,443,,7,,427,9,,19,0.3,"72,319","3,037","23,813,449",Asia
144,Rwanda,377,,1,,262,114,,29,0.08,"66,976","5,183","12,923,473",Africa
145,Yemen,354,,84,,14,256,,12,3,120,4,"29,768,166",Asia
146,Isle of Man,336,,24,,311,1,,"3,953",282,"4,933","58,037","84,997",Europe
147,Malawi,336,,4,,42,290,1,18,0.2,"5,049",265,"19,085,404",Africa
148,Mauritius,335,,10,,322,3,,263,8,"120,358","94,650","1,271,605",Africa
149,Vietnam,328,,,,293,35,1,3,,"275,000","2,827","97,267,698",Asia
150,Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","628,060",Europe
151,Liberia,296,,27,,159,110,,59,5,,,"5,047,124",Africa
152,Eswatini,293,,3,,194,96,,253,3,"4,994","4,308","1,159,183",Africa
153,Mozambique,254,,2,,97,155,,8,0.06,"10,970",352,"31,175,443",Africa
154,Benin,243,,3,,147,93,,20,0.2,"34,682","2,868","12,094,521",Africa
155,Myanmar,228,,6,,138,84,,4,0.1,"27,077",498,"54,380,722",Asia
156,Zimbabwe,203,,4,,29,170,,14,0.3,"46,613","3,140","14,844,771",Africa
157,Martinique,200,,14,,98,88,,533,37,,,"375,287",North America
158,Faeroe Islands,187,,,,187,0,,"3,828",,"9,677","198,104","48,848",Europe
159,Mongolia,185,,,,44,141,19,57,,"14,037","4,288","3,273,816",Asia
160,Gibraltar,170,,,,151,19,,"5,046",,"7,644","226,879","33,692",Europe
161,Libya,168,,5,,52,111,,24,0.7,"6,206",904,"6,863,501",Africa
162,Guadeloupe,162,,14,,138,10,1,405,35,"4,137","10,339","400,119",North America
163,Guyana,153,,12,,70,71,2,195,15,"1,658","2,109","786,253",South America
164,Cayman Islands,150,,1,,75,74,,"2,285",15,"11,944","181,912","65,658",North America
165,Bermuda,141,,9,,112,20,2,"2,263",144,"7,506","120,491","62,295",North America
166,Brunei,141,,2,,138,1,1,323,5,"19,516","44,645","437,139",Asia
167,Cambodia,125,,,,123,2,1,7,,"20,895","1,251","16,699,641",Asia
168,Syria,123,,5,,46,72,,7,0.3,,,"17,462,715",Asia
169,Trinidad and Tobago,117,,8,,108,1,,84,6,"3,169","2,265","1,399,135",North America
170,Comoros,106,,2,,26,78,,122,2,,,"867,979",Africa
171,Bahamas,102,,11,,49,42,1,260,28,"2,101","5,347","392,939",North America
172,Aruba,101,,3,,98,0,,946,28,"2,134","19,994","106,730",North America
173,Monaco,99,,4,,90,5,1,"2,524",102,"16,200","413,055","39,220",Europe
174,Barbados,92,,7,,76,9,1,320,24,"5,471","19,040","287,348",North America
175,Angola,86,,4,,18,64,1,3,0.1,"10,000",305,"32,771,074",Africa
176,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,610","38,119",Europe
177,Sint Maarten,77,,15,,60,2,1,"1,798",350,461,"10,762","42,836",North America
178,Burundi,63,,1,,33,29,,5,0.08,284,24,"11,858,077",Africa
179,French Polynesia,60,,,,60,0,,214,,"4,040","14,389","280,779",Australia/Oceania
180,Macao,45,,,,45,0,,69,,,,"648,597",Asia
181,Suriname,44,,1,,9,34,,75,2,782,"1,334","586,207",South America
182,Bhutan,43,,,,6,37,,56,,"17,344","22,498","770,911",Asia
183,Saint Martin,41,,3,,33,5,1,"1,062",78,614,"15,903","38,610",North America
184,Eritrea,39,,,,39,0,,11,,,,"3,542,322",Africa
185,Botswana,38,,1,,20,17,,16,0.4,"21,716","9,251","2,347,497",Africa
186,Antigua and Barbuda,26,,3,,19,4,1,266,31,183,"1,870","97,864",North America
187,St. Vincent Grenadines,26,,,,15,11,,234,,593,"5,347","110,913",North America
188,Gambia,25,,1,,20,4,,10,0.4,"1,756",728,"2,410,463",Africa
189,Namibia,25,,,,16,9,,10,,"3,970","1,565","2,536,955",Africa
190,Timor-Leste,24,,,,24,0,,18,,"1,290",980,"1,316,277",Asia
191,Grenada,23,,,,18,5,2,204,,"3,516","31,258","112,482",North America
192,New Caledonia,20,,,,18,2,,70,,"6,681","23,420","285,275",Australia/Oceania
193,Curaçao,19,,1,,14,4,,116,6,572,"3,487","164,040",North America
194,Laos,19,,,,16,3,,3,,"7,180",988,"7,266,705",Asia
195,Belize,18,,2,,16,0,,45,5,"1,572","3,960","397,008",North America
196,Fiji,18,,,,15,3,,20,,"2,431","2,713","895,925",Australia/Oceania
197,Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","183,561",North America
198,Dominica,16,,,,16,0,,222,,433,"6,016","71,972",North America
199,Saint Kitts and Nevis,15,,,,15,0,,282,,396,"7,448","53,169",North America
200,Falkland Islands,13,,,,13,0,,"3,745",,503,"144,915","3,471",South America
201,Greenland,13,,,,11,2,,229,,"2,141","37,719","56,762",North America
202,Turks and Caicos,12,,1,,11,0,,310,26,153,"3,956","38,673",North America
203,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
204,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992",North America
205,Seychelles,11,,,,11,0,,112,,,,"98,299",Africa
206,MS Zaandam,9,,2,,,7,,,,,,0,
207,Western Sahara,9,,1,,6,2,,15,2,,,"596,026",Africa
208,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,215",North America
209,Papua New Guinea,8,,,,8,0,,0.9,,"4,646",520,"8,932,400",Australia/Oceania
210,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,181","26,203",North America
211,St. Barth,6,,,,6,0,,608,,137,"13,873","9,875",North America
212,Anguilla,3,,,,3,0,,200,,41,"2,735","14,992",North America
213,Lesotho,2,,,,1,1,,0.9,,283,132,"2,140,884",Africa
214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796",North America
215,China,83022,5,4634,,"78,315",73,3,58,3,,,"1,439,323,776",Asia
,Total:,6365173,"3,025",377397,245,"2,903,382","3,084,394","53,407",816.6,48.4,,,,All
