"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
Hungary,226,+39,10,+1,21,195,6,23,1
Morocco,225,+55,6,+1,7,212,1,6,0.2
Latvia,221,+24,,,1,220,,117,
Slovakia,216,+12,,,7,209,2,40,
New Zealand,205,,,,22,183,,43,
Costa Rica,201,+24,2,,2,197,4,39,0.4
Kuwait,195,+4,,,43,152,6,46,
Uruguay,189,,,,,189,3,54,
Andorra,188,+24,1,,1,186,6,"2,433",13
San Marino,187,,21,,4,162,12,"5,511",619
North Macedonia,177,+29,3,+1,1,173,1,85,1
Tunisia,173,+59,5,+1,2,166,11,15,0.4
Bosnia and Herzegovina,173,+5,3,,2,168,1,53,0.9
Jordan,172,+18,,,1,171,,17,
Moldova,149,+24,1,,2,146,20,37,0.2
Albania,146,+23,5,,17,124,3,51,2
Burkina Faso,146,+32,4,,10,132,,7,0.2
Vietnam,141,+7,,,17,124,3,1,
Cyprus,132,+8,3,,3,126,3,109,2
Faeroe Islands,132,+10,,,38,94,2,"2,701",
Malta,129,+19,,,2,127,1,292,
Ukraine,116,+14,4,+1,1,111,,3,0.09
Réunion,111,+17,,,1,110,,124,
Brunei,109,+5,,,2,107,1,249,
Sri Lanka,102,,,,3,99,2,5,
Oman,99,+15,,,17,82,,19,
Senegal,99,+13,,,9,90,,6,
Cambodia,96,+5,,,10,86,1,6,
Azerbaijan,93,+6,2,+1,10,81,6,9,0.2
Venezuela,91,+7,,,15,76,2,3,
Belarus,86,+5,,,29,57,2,9,
Afghanistan,84,+10,2,+1,2,80,,2,0.05
Kazakhstan,81,+9,,,,81,,4,
Cameroon,75,+9,1,,2,72,,3,0.04
Georgia,75,+5,,,10,65,1,19,
Guadeloupe,73,,1,,,72,4,182,2
Ivory Coast,73,,,,2,71,,3,
Ghana,68,+15,3,+1,,65,,2,0.1
Palestine,64,+4,1,+1,16,47,,13,0.2
Trinidad and Tobago,60,+3,,,,60,,43,
Uzbekistan,60,+10,,,,60,4,2,
Cuba,57,+9,1,,1,55,2,5,0.09
Martinique,57,,1,,,56,7,152,3
Montenegro,52,+5,1,,,51,,83,2
Liechtenstein,51,,,,,51,,"1,338",
DRC,48,+3,2,,,46,,0.5,0.02
Mauritius,48,+6,2,,,46,1,38,2
Nigeria,46,+2,1,,2,43,,0.2,0
Kyrgyzstan,44,+2,,,,44,,7,
Rwanda,41,+1,,,,41,,3,
Bangladesh,39,,5,+1,7,27,,0.2,0.03
Channel Islands,39,+3,,,,39,,224,
Paraguay,37,+10,3,+1,,34,1,5,0.4
Honduras,36,+6,,,,36,,4,
Mayotte,36,,,,,36,,132,
Bolivia,32,+3,,,,32,,3,
Monaco,31,+8,,,1,30,,790,
Macao,30,+1,,,10,20,,46,
Kenya,28,+3,,,1,27,,0.5,
Gibraltar,26,+11,,,5,21,,772,
Jamaica,25,+4,1,,2,22,,8,0.3
French Polynesia,25,,,,,25,,89,
Guatemala,24,+3,1,,4,19,,1,0.06
French Guiana,23,,,,6,17,,77,
Isle of Man,23,,,,,23,,270,
Togo,23,+3,,,1,22,,3,
Madagascar,19,+2,,,,19,,0.7,
Barbados,18,,,,,18,,63,
Aruba,17,,,,1,16,,159,
New Caledonia,14,+4,,,,14,,49,
Uganda,14,+5,,,,14,,0.3,
Maldives,13,,,,8,5,,24,
Ethiopia,12,,,,,12,,0.1,
Tanzania,12,,,,,12,,0.2,
Zambia,12,+9,,,,12,,0.7,
Djibouti,11,+8,,,,11,,11,
Mongolia,10,,,,,10,,3,
El Salvador,9,+4,,,,9,,1,
Equatorial Guinea,9,,,,,9,,6,
Cayman Islands,8,+2,1,,,7,,122,15
Haiti,8,+1,,,,8,,0.7,
Saint Martin,8,,,,,8,,207,
Suriname,8,+1,,,,8,,14,
Niger,7,+4,1,+1,,6,,0.3,0.04
Dominica,7,,,,,7,,97,
Namibia,7,,,,2,5,,3,
Seychelles,7,,,,,7,,71,
Curaçao,6,,1,,,5,,37,6
Gabon,6,,1,,,5,,3,0.4
Benin,6,,,,,6,,0.5,
Bermuda,6,,,,,6,,96,
Greenland,6,+1,,,2,4,,106,
Guyana,5,,1,,,4,,6,1
Bahamas,5,,,,1,4,,13,
Fiji,5,+1,,,,5,,6,
Mozambique,5,+2,,,,5,,0.2,
Syria,5,+4,,,,5,,0.3,
Cabo Verde,4,+1,1,,,3,,7,2
Congo,4,,,,,4,,0.7,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,"4,994",
Eswatini,4,,,,,4,,3,
Gambia,3,,1,,,2,,1,0.4
Sudan,3,,1,,,2,,0.07,0.02
Zimbabwe,3,,1,,,2,,0.2,0.07
Nepal,3,+1,,,1,2,,0.1,
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Laos,3,+1,,,,3,,0.4,
Liberia,3,,,,,3,,0.6,
Myanmar,3,,,,,3,,0.06,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,,3,,16,
Sint Maarten,3,+1,,,,3,,70,
Bhutan,2,,,,,2,,3,
Guinea-Bissau,2,+2,,,,2,,1,
Mali,2,+2,,,,2,,0.10,
Mauritania,2,,,,,2,,0.4,
Nicaragua,2,,,,,2,,0.3,
Belize,1,,,,,1,,3,
Eritrea,1,,,,,1,,0.3,
Grenada,1,,,,,1,,9,
Libya,1,,,,,1,,0.1,
Montserrat,1,,,,,1,,200,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9,
Somalia,1,,,,,1,,0.06,
Timor-Leste,1,,,,,1,,0.8,
Turks and Caicos,1,,,,,1,,26,
Total:,"462,162","39,635","20,860","1,970","113,802","327,500","14,215",59.3,2.7
